Train_No,Journey_Duration_Hours,Total_Distance,Number_of_Stops
12348,3.6666666666666665,206,9
12349,19.5,1206,13
12350,20.25,1206,13
12351,9.666666666666666,528,23
12352,9.416666666666666,529,23
12353,23.083333333333332,1299,18
12354,23.583333333333332,1300,18
12355,3.5,1506,19
12356,2.9166666666666665,1506,19
12357,5.166666666666667,1807,15
12358,5.666666666666667,1807,15
12359,9.416666666666666,534,13
12360,9.166666666666666,534,13
12361,10.5,2043,21
12362,12.166666666666666,2044,21
12363,11.25,621,11
12364,11.166666666666666,620,11
12365,7.916666666666667,410,12
12366,7.833333333333333,407,12
12367,20.75,1193,21
12368,21.75,1193,21
12369,3.6666666666666665,1525,20
12370,3.416666666666668,1526,20
12371,15.5,2245,29
12372,15.333333333333334,2246,29
12373,3.6666666666666665,217,7
12374,3.6666666666666665,216,7
12375,7.25,1729,27
12376,6.75,1727,27
12377,12.916666666666666,718,10
12378,13.0,718,10
12379,6.583333333333333,1889,15
12380,6.5,1890,15
12381,21.833333333333332,1438,22
12382,23.333333333333332,1439,22
12383,3.9166666666666665,221,9
12384,3.9166666666666665,222,9
12389,15.0,2348,17
12390,14.666666666666666,2353,17
12391,21.166666666666668,1092,33
12392,21.0,1092,33
12393,14.25,987,5
12394,14.166666666666666,987,5
12395,20.416666666666668,1287,15
12396,23.166666666666668,1287,15
12397,14.25,981,15
12398,15.083333333333334,981,15
12401,19.666666666666668,1049,28
12402,18.75,1049,28
12405,1.8333333333333333,1461,29
12406,0.5,1464,29
12407,9.333333333333334,1821,19
12408,9.083333333333334,1824,19
12409,4.0,1613,35
12410,3.75,1608,35
12411,4.5,247,9
12412,4.416666666666667,247,9
12413,18.25,1016,21
12414,18.166666666666668,1017,22
12415,14.25,815,23
12416,14.5,817,22
12417,9.5,624,6
12418,9.5,624,7
12419,9.083333333333334,504,16
12420,9.0,504,16
12421,11.083333333333334,1927,23
12422,9.25,1929,23
12423,15.0,2422,22
12424,15.833333333333334,2423,22
12425,9.083333333333334,576,5
12426,9.333333333333334,576,5
12427,14.583333333333334,844,12
12428,13.75,844,13
12431,17.416666666666668,2841,19
12432,18.0,2840,19
12433,4.25,2156,10
12434,4.333333333333333,2155,10
12435,19.75,2452,26
12436,22.0,2454,26
12437,21.666666666666668,1651,7
12438,22.083333333333332,1652,7
12439,16.916666666666668,1297,8
12440,17.0,1300,8
12441,20.916666666666668,1487,10
12442,20.25,1483,10
12443,3.3333333333333335,1572,14
12444,1.3333333333333333,1572,14
12445,11.833333333333334,654,11
12446,11.75,654,11
12447,12.333333333333334,676,12
12448,12.416666666666666,679,12
12449,12.416666666666666,2159,14
12450,12.666666666666666,2157,14
12451,6.833333333333332,430,3
12452,6.583333333333332,430,3
12453,17.666666666666668,1333,7
12454,18.5,1336,7
12455,14.5,790,21
12456,14.583333333333334,790,21
12457,7.75,455,14
12458,7.666666666666668,455,14
12459,8.083333333333334,447,15
12460,8.0,447,17
12461,10.75,618,18
12462,10.916666666666666,619,16
12463,10.166666666666666,614,8
12464,10.666666666666666,615,8
12465,16.25,905,29
12466,16.583333333333332,906,29
12467,12.666666666666666,700,22
12468,12.583333333333334,699,22
12469,18.5,1025,14
12470,18.666666666666668,1025,14
12471,9.25,2017,26
12472,8.916666666666666,2019,26
12473,5.666666666666667,1736,24
12474,5.083333333333333,1739,25
12475,11.666666666666666,2055,31
12476,11.666666666666666,2058,31
12477,11.916666666666666,2064,31
12478,11.833333333333334,2066,31
12479,16.833333333333332,934,17
12480,17.0,932,17
12481,7.5,409,15
12482,7.666666666666667,409,15
12483,10.416666666666666,3290,27
12484,9.333333333333334,3288,27
12485,11.5,1937,27
12486,9.0,1940,27
12487,1.0,1364,19
12488,0.9166666666666666,1364,19
12489,22.333333333333332,1244,22
12490,22.583333333333332,1244,22
12491,6.833333333333333,1609,22
12492,6.0,1612,22
12493,0.3333333333333333,1498,10
12494,23.833333333333332,1501,10
12495,7.916666666666667,1878,20
12496,7.0,1876,20
12497,7.666666666666667,447,14
12498,7.666666666666667,447,15
12501,6.75,1914,10
12502,9.0,1914,10
12503,3.25,3032,23
12504,1.0833333333333333,3032,23
12505,9.583333333333334,1850,30
12506,10.083333333333334,1850,29
12507,2.0833333333333335,3932,58
12508,2.75,3930,56
12509,6.333333333333332,2992,42
12510,5.333333333333333,2993,41
12511,10.666666666666666,3239,61
12512,9.083333333333334,3245,60
12513,22.5,2564,31
12514,21.666666666666668,2567,30
12515,4.583333333333333,3932,57
12516,2.75,3930,56
12517,18.25,1027,14
12518,18.0,1027,14
12519,20.583333333333332,2568,28
12520,20.5,2567,28
12521,14.0,3427,63
12522,12.583333333333334,3435,62
12523,3.9166666666666665,1496,18
12524,3.5,1499,18
12525,4.75,1584,23
12526,4.666666666666667,1583,23
12527,7.916666666666667,395,11
12529,10.75,518,10
12530,9.833333333333334,522,10
12531,5.0,277,12
12532,5.0,278,12
12533,0.08333333333333333,1424,16
12534,0.25,1423,15
12535,17.083333333333332,903,13
12536,16.75,905,12
12537,9.833333333333334,543,15
12538,10.25,543,15
12539,22.0,2548,18
12540,20.666666666666668,2541,18
12541,6.166666666666668,1685,16
12542,5.833333333333333,1686,16
12545,13.25,2045,21
12546,13.416666666666666,2045,21
